,SOURCE,INSTRMT,PROF_NO,i_offset,temp,salt,p
6,ITP,1,1259,13,-0.35332612969567617,34.41205906400012,229.6452585025134
0,ITP,8,1301,13,-1.103476002844649,33.97834160020531,220.49480615995984
1,ITP,8,1301,13,-1.0743086848394459,34.00267464224783,221.9948061599596
2,ITP,8,1301,13,-1.0492633209767332,34.025185919236044,223.49480615995938
3,ITP,8,1301,13,-1.0279063919745082,34.04265013882329,224.99480615995915
4,ITP,8,1301,13,-1.010946958140565,34.057012890399584,226.49480615995893
5,ITP,8,1301,13,-0.9701973916523513,34.090336833455,227.9948061599587
6,ITP,8,1301,13,-0.9241663984401098,34.1280129723823,229.49480615995847
0,ITP,1,1259,14,-0.47220266484231394,34.370332413085194,220.68275850251476
1,ITP,1,1259,14,-0.46695588659356363,34.36956081692921,222.18275850251453
2,ITP,1,1259,14,-0.4281749367327963,34.38322766531771,223.6827585025143
3,ITP,1,1259,14,-0.40669809175325883,34.38660745274694,225.18275850251408
4,ITP,1,1259,14,-0.38916433696304864,34.39742893637813,226.68275850251385
5,ITP,1,1259,14,-0.3849474503784079,34.39725708311621,228.18275850251362
6,ITP,1,1259,14,-0.3532775488402349,34.41204252115898,229.6827585025134
0,ITP,8,1301,14,-1.1030100645922056,33.97870839730344,220.53230615995983
1,ITP,8,1301,14,-1.0733321638964444,34.00268938684437,222.0323061599596
2,ITP,8,1301,14,-1.0486740034757993,34.025594328509705,223.53230615995938
3,ITP,8,1301,14,-1.0277663521056604,34.04281663289976,225.03230615995915
4,ITP,8,1301,14,-1.010749036169813,34.05742504236072,226.53230615995892
5,ITP,8,1301,14,-0.9691943248515411,34.09090766667614,228.0323061599587
6,ITP,8,1301,14,-0.9225716276340736,34.129339063682984,229.53230615995847
0,ITP,1,1259,15,-0.47220976983953117,34.37031933590638,220.72025850251475
1,ITP,1,1259,15,-0.4667242824040506,34.36981427808931,222.22025850251453
2,ITP,1,1259,15,-0.42806805230053424,34.3832165185237,223.7202585025143
3,ITP,1,1259,15,-0.40423385563634107,34.38761385709863,225.22025850251407
4,ITP,1,1259,15,-0.3890714234211154,34.39741018120678,226.72025850251384
5,ITP,1,1259,15,-0.38466232332512645,34.39733753632186,228.22025850251362
6,ITP,1,1259,15,-0.3532289679847936,34.412025978317835,229.7202585025134
0,ITP,8,1301,15,-1.1024083312936108,33.979198848348595,220.56980615995982
1,ITP,8,1301,15,-1.0722856463056878,34.002595045593964,222.0698061599596
2,ITP,8,1301,15,-1.048083058910817,34.02601397750022,223.56980615995937
3,ITP,8,1301,15,-1.0277176170506273,34.04325553122577,225.06980615995914
4,ITP,8,1301,15,-1.0105494524012058,34.05790116416496,226.56980615995892
5,ITP,8,1301,15,-0.9681912580507309,34.09147849989728,228.0698061599587
6,ITP,8,1301,15,-0.9208565968155727,34.13045775351545,229.56980615995846
0,ITP,1,1259,16,-0.4722168748367484,34.37030625872756,220.75775850251475
1,ITP,1,1259,16,-0.4664926782145376,34.370067739249414,222.25775850251452
2,ITP,1,1259,16,-0.4279451555543354,34.38319190118915,223.7577585025143
3,ITP,1,1259,16,-0.40197651700745857,34.38917995889264,225.25775850251406
4,ITP,1,1259,16,-0.38904333819361503,34.39747517602212,226.75775850251384
5,ITP,1,1259,16,-0.38402110517212573,34.39771520133916,228.2577585025136
6,ITP,1,1259,16,-0.3532195226401129,34.412084230161526,229.75775850251338
0,ITP,8,1301,16,-1.101773844198634,33.979748242031334,220.60730615995982
1,ITP,8,1301,16,-1.071744993827318,34.003023684658224,222.1073061599596
2,ITP,8,1301,16,-1.0474353023552956,34.02682608226931,223.60730615995936
3,ITP,8,1301,16,-1.0276688819955941,34.04369442955178,225.10730615995914
4,ITP,8,1301,16,-1.010289419757939,34.05836960057957,226.6073061599589
5,ITP,8,1301,16,-0.96687326489945,34.09193477346129,228.10730615995868
6,ITP,8,1301,16,-0.9191415659970719,34.13157644334792,229.60730615995845
0,ITP,1,1259,17,-0.47222397983396563,34.37029318154874,220.79525850251474
1,ITP,1,1259,17,-0.4662610740250246,34.37032120040951,222.2952585025145
2,ITP,1,1259,17,-0.4278222588081365,34.383167283854604,223.7952585025143
3,ITP,1,1259,17,-0.399719178378576,34.39074606068665,225.29525850251406
4,ITP,1,1259,17,-0.38901525296611467,34.39754017083745,226.79525850251383
5,ITP,1,1259,17,-0.383379887019125,34.398092866356464,228.2952585025136
6,ITP,1,1259,17,-0.3532169679935879,34.412155651313256,229.79525850251338
0,ITP,8,1301,17,-1.1010467404703377,33.98046430551283,220.6448061599598
1,ITP,8,1301,17,-1.0712738590348403,34.003524193437066,222.1448061599596
2,ITP,8,1301,17,-1.0467875457997742,34.0276381870384,223.64480615995936
